t,prob
0,0.0
1,0.0301377857950918
2,0.06858673250349819
3,0.08699986198050542
4,0.09333138950265245
5,0.09231206817842494
6,0.08701262846696313
7,0.0794432343658031
8,0.07090500251683532
9,0.06221916836378758
10,0.05388243246125964
11,0.046173896246738344
12,0.03922901161698181
13,0.03309063854371844
14,0.027744083728669114
15,0.023140901276573082
16,0.019214819512014286
17,0.015892174481291155
18,0.01309853784072769
19,0.01076273467512156
20,0.008819095636509271
21,0.007208536823857231
22,0.005878881520732686
23,0.004784710066050843
24,0.003886933306008806
25,0.0031522208729357895
26,0.002552370459912517
27,0.00206367288692112
28,0.001666306163778326
29,0.0013437771134193538
30,0.0010824193819913318
31,0.0008709503590113703
32,0.0007000856074268025
33,0.0005622071078200127
34,0.0004510804200012452
35,0.0003616153835122393
36,0.0002896649543892762
37,0.00023185702850878499
38,0.0001854545094818399
39,0.0001482393598559312
40,0.00011841687552802523
41,9.45369119095611e-05
42,7.542924729751684e-05
43,6.0150684066631884e-05
44,4.7941857715662764e-05
45,3.819204732680954e-05
46,3.0410560810857248e-05
47,2.420350788724608e-05
48,1.925497717616945e-05
49,1.531180531445183e-05
50,1.2171269794997758e-05
51,4.679927630443065e-05
