t,S,E,I,R,beta(t),R(t),new_infections,new_symptomatic
0.0,100000.0,1.0,0.0,0.0,5e-06,2.86,0.0,0.24875621890547267
1.0,99999.94537928207,0.8300005937936865,0.20552196577887866,0.019098158327944658,5e-06,2.859998437847467,0.10276092676065272,0.20646780940141457
2.0,99999.80391750332,0.7738017956548466,0.35372032026592204,0.0685603807330649,5e-06,2.859994392040595,0.1768598133411434,0.19248800886936487
3.0,99999.59621049622,0.7883769365798724,0.4742271409521891,0.14118542621741062,5e-06,2.859988451620192,0.23711261303638495,0.19611366581588868
4.0,99999.33134475612,0.850254856432378,0.5846040659493218,0.23379632144678175,5e-06,2.8599808764600247,0.29230007848178946,0.21150618319213385
5.0,99999.01147496393,0.9472090695366057,0.6956761336301209,0.34563983285368177,5e-06,2.8599717281839685,0.34783462834868506,0.23562414665089695
6.0,99998.63436066615,1.0735632780623492,0.8145765247098239,0.47749953102762543,5e-06,2.859960942715052,0.40728270026619917,0.26705554180655455
7.0,99998.19473530445,1.2275527044567356,0.9464948614609878,0.6312171295793548,5e-06,2.859948369429707,0.4732388873617044,0.30536136926784474
8.0,99997.6850016889,1.409856172715947,1.0956928000339472,0.8094493383066403,5e-06,2.8599337910483023,0.5478337173820658,0.35071049072536004
9.0,99997.09553264974,1.6227972709549683,1.2661073062953414,1.0155627729689154,5e-06,2.8599169322337823,0.6330352663110055,0.40368091317287774
10.0,99996.41473318033,1.869930517037528,1.4617240326979044,1.2536122698742962,5e-06,2.8598974613689574,0.7308358129955825,0.465156845034211
11.0,99995.62895060692,2.15585204651456,1.6868249946990348,1.5283723518103411,5e-06,2.8598749879873577,0.8433756313726709,0.5362816036105872
12.0,99994.72227929291,2.486144781773626,1.946170336585539,1.8454055886813188,5e-06,2.859849057187777,0.973033811575345,0.6184439755655787
13.0,99993.67628340372,2.86740792957275,2.245149033228752,2.211159633441217,5e-06,2.8598191417053465,1.1225035281833633,0.7132855546200871
14.0,99992.46964766891,3.307343635192493,2.5899192285989723,2.633089467245965,5e-06,2.859784631923331,1.2948620992779842,0.8227222973115655
15.0,99991.07775787651,3.814886775600281,2.9875510893577024,3.119804258476666,5e-06,2.859744823875268,1.4936422664079736,0.9489768098508162
16.0,99989.47220772084,4.400371506328661,3.446180741194106,3.6812400315891445,5e-06,2.859698905140816,1.7229089672220546,1.0946197776936968
17.0,99987.62022470412,5.075732922979862,3.975181654733367,4.328860718110644,5e-06,2.859645938426538,1.9873447680884542,1.2626201300944933
18.0,99985.48400509745,5.85474498357504,4.585358808380279,5.075891110558347,5e-06,2.859584842545787,2.2923465989646954,1.4564042247699107
19.0,99983.01994582452,6.753297713489525,5.289170464794505,5.937585997146362,5e-06,2.859514370450581,2.6441361803920747,1.6799248043506283
20.0,99980.17775743193,7.789718631734411,6.100982874569462,6.931541061768766,1e-05,5.718866167725106,6.0997735229450285,1.9377409531677643
21.0,99973.50171075256,12.008379874260326,7.390956897584682,8.0989524756448,1e-05,5.7184842978550465,7.388998420447807,2.987159172701574
22.0,99965.13105483547,16.81307337586106,9.493068765790952,9.562803022915359,1e-05,5.7180054963365885,9.489758632848577,4.182356561159468
23.0,99954.2274761638,22.81834493808777,12.484386913843139,11.469791984307534,1e-05,5.717381811636569,12.478672494867196,5.676205208479545
