Country,Delay Type 0,Delay Type 1,Value,Lower bound,Upper bound,Link,Notes
China,Onset,Admission,4,2,7,https://www.sciencedirect.com/science/article/pii/S0163445320301195,
China,Admission,Discharge,16,12,20,https://www.sciencedirect.com/science/article/pii/S0163445320301195,
China,Onset,Admission,3.5,2.7,4,https://www.mdpi.com/2077-0383/9/2/538/htm#B8-jcm-09-00538,
China,Onset,Death,13,13,13,https://www.mdpi.com/2077-0383/9/2/538/htm#B8-jcm-09-00538,
China,Onset,Admission,12.5,10.3,14.8,https://www.nejm.org/doi/full/10.1056/NEJMoa2001316,Early data in Wuhan
China,Onset,Admission,7,4,8,https://www.sciencedirect.com/science/article/pii/S0140673620301835,
South Korea,Onset,Confirmation,5.2,0,15,https://www.e-epih.org/journal/view.php?doi=10.4178/epih.e2020007,
South Korea,Confirmation,Discharge,13,7,17,https://www.e-epih.org/journal/view.php?doi=10.4178/epih.e2020007,
Mostly China,Onset,Hospitalization,,2,6.5,https://www.mdpi.com/2077-0383/9/5/1297/htm,
,,,,,,,
,,,,,,,
How my estimates compare to literature estimates of the same type and country,,,,,,,
,,,,,,,
China,Onset,Admission,4,0,8,My estimate,
China,Onset,Admission,4,2,7,https://www.sciencedirect.com/science/article/pii/S0163445320301195,
China,Onset,Admission,3.5,2.7,4,https://www.mdpi.com/2077-0383/9/2/538/htm#B8-jcm-09-00538,
China,Onset,Admission,7,4,8,https://www.sciencedirect.com/science/article/pii/S0140673620301835,
China,Onset,Admission,12.5,10.3,14.8,https://www.nejm.org/doi/full/10.1056/NEJMoa2001316,"Early data in Wuhan, much longer than others"
,,,,,,,
South Korea,Onset,Confirmation,5,0,5,My estimate,
South Korea,Onset,Confirmation,5.2,0,15,https://www.e-epih.org/journal/view.php?doi=10.4178/epih.e2020007,
,,,,,,,
China,Admission,Discharge,12,7.25,16.75,My estimate,
China,Admission,Discharge,16,12,20,https://www.sciencedirect.com/science/article/pii/S0163445320301195,
,,,,,,,
China,Onset,Death,13,7.5,18.5,My estimate,
China,Onset,Death,13,13,13,https://www.mdpi.com/2077-0383/9/2/538/htm#B8-jcm-09-00538,
